08:36:27.299|I|| --------- Sistema Inicializando --------- 
08:37:37.371QIODevice::write (QSerialPort): device not open
08:37:37.372QIODevice::write (QSerialPort): device not open
08:37:37.872QIODevice::write (QSerialPort): device not open
08:37:37.872QIODevice::write (QSerialPort): device not open
08:37:38.372QIODevice::write (QSerialPort): device not open
08:37:38.372QIODevice::write (QSerialPort): device not open
08:37:38.872QIODevice::write (QSerialPort): device not open
08:37:38.872QIODevice::write (QSerialPort): device not open
08:37:39.371QIODevice::write (QSerialPort): device not open
08:37:39.371QIODevice::write (QSerialPort): device not open
08:37:39.871QIODevice::write (QSerialPort): device not open
08:37:39.872QIODevice::write (QSerialPort): device not open
08:37:40.372QIODevice::write (QSerialPort): device not open
08:37:40.372QIODevice::write (QSerialPort): device not open
08:37:40.876QIODevice::write (QSerialPort): device not open
08:37:40.876QIODevice::write (QSerialPort): device not open
08:37:41.372QIODevice::write (QSerialPort): device not open
08:37:41.372QIODevice::write (QSerialPort): device not open
08:37:41.871QIODevice::write (QSerialPort): device not open
08:37:41.872QIODevice::write (QSerialPort): device not open
08:37:42.371QIODevice::write (QSerialPort): device not open
08:37:42.372QIODevice::write (QSerialPort): device not open
08:37:42.871QIODevice::write (QSerialPort): device not open
08:37:42.872QIODevice::write (QSerialPort): device not open
08:37:43.371QIODevice::write (QSerialPort): device not open
08:37:43.371QIODevice::write (QSerialPort): device not open
08:37:43.871QIODevice::write (QSerialPort): device not open
08:37:43.872QIODevice::write (QSerialPort): device not open
08:37:44.372QIODevice::write (QSerialPort): device not open
08:37:44.372QIODevice::write (QSerialPort): device not open
08:37:44.871QIODevice::write (QSerialPort): device not open
08:37:44.872QIODevice::write (QSerialPort): device not open
08:37:45.372QIODevice::write (QSerialPort): device not open
08:37:45.373QIODevice::write (QSerialPort): device not open
08:37:45.871QIODevice::write (QSerialPort): device not open
08:37:45.872QIODevice::write (QSerialPort): device not open
08:37:46.372QIODevice::write (QSerialPort): device not open
08:37:46.372QIODevice::write (QSerialPort): device not open
08:37:46.872QIODevice::write (QSerialPort): device not open
08:37:46.872QIODevice::write (QSerialPort): device not open
08:37:47.372QIODevice::write (QSerialPort): device not open
08:37:47.373QIODevice::write (QSerialPort): device not open
08:37:47.871QIODevice::write (QSerialPort): device not open
08:37:47.872QIODevice::write (QSerialPort): device not open
08:37:48.372QIODevice::write (QSerialPort): device not open
08:37:48.373QIODevice::write (QSerialPort): device not open
08:37:48.871QIODevice::write (QSerialPort): device not open
08:37:48.871QIODevice::write (QSerialPort): device not open
08:37:49.372QIODevice::write (QSerialPort): device not open
08:37:49.372QIODevice::write (QSerialPort): device not open
08:37:49.872QIODevice::write (QSerialPort): device not open
08:37:49.872QIODevice::write (QSerialPort): device not open
08:37:50.375QIODevice::write (QSerialPort): device not open
08:37:50.376QIODevice::write (QSerialPort): device not open
08:37:50.874QIODevice::write (QSerialPort): device not open
08:37:50.875QIODevice::write (QSerialPort): device not open
08:37:51.373QIODevice::write (QSerialPort): device not open
08:37:51.374QIODevice::write (QSerialPort): device not open
08:37:51.872QIODevice::write (QSerialPort): device not open
08:37:51.873QIODevice::write (QSerialPort): device not open
08:37:52.371QIODevice::write (QSerialPort): device not open
08:37:52.372QIODevice::write (QSerialPort): device not open
08:37:52.872QIODevice::write (QSerialPort): device not open
08:37:52.872QIODevice::write (QSerialPort): device not open
08:37:53.371QIODevice::write (QSerialPort): device not open
08:37:53.372QIODevice::write (QSerialPort): device not open
08:37:53.872QIODevice::write (QSerialPort): device not open
08:37:53.873QIODevice::write (QSerialPort): device not open
08:37:54.372QIODevice::write (QSerialPort): device not open
08:37:54.373QIODevice::write (QSerialPort): device not open
08:37:54.872QIODevice::write (QSerialPort): device not open
08:37:54.872QIODevice::write (QSerialPort): device not open
08:37:55.372QIODevice::write (QSerialPort): device not open
08:37:55.373QIODevice::write (QSerialPort): device not open
08:37:55.872QIODevice::write (QSerialPort): device not open
08:37:55.872QIODevice::write (QSerialPort): device not open
08:37:56.371QIODevice::write (QSerialPort): device not open
08:37:56.372QIODevice::write (QSerialPort): device not open
08:37:56.872QIODevice::write (QSerialPort): device not open
08:37:56.872QIODevice::write (QSerialPort): device not open
08:37:57.371QIODevice::write (QSerialPort): device not open
08:37:57.371QIODevice::write (QSerialPort): device not open
08:37:57.872QIODevice::write (QSerialPort): device not open
08:37:57.872QIODevice::write (QSerialPort): device not open
08:37:58.373QIODevice::write (QSerialPort): device not open
08:37:58.373QIODevice::write (QSerialPort): device not open
08:37:58.872QIODevice::write (QSerialPort): device not open
08:37:58.873QIODevice::write (QSerialPort): device not open
08:37:59.372QIODevice::write (QSerialPort): device not open
08:37:59.373QIODevice::write (QSerialPort): device not open
08:37:59.872QIODevice::write (QSerialPort): device not open
08:37:59.873QIODevice::write (QSerialPort): device not open
08:38:00.372QIODevice::write (QSerialPort): device not open
08:38:00.373QIODevice::write (QSerialPort): device not open
08:38:00.872QIODevice::write (QSerialPort): device not open
08:38:00.873QIODevice::write (QSerialPort): device not open
08:38:01.376QIODevice::write (QSerialPort): device not open
08:38:01.376QIODevice::write (QSerialPort): device not open
08:38:01.871QIODevice::write (QSerialPort): device not open
08:38:01.872QIODevice::write (QSerialPort): device not open
08:38:02.371QIODevice::write (QSerialPort): device not open
08:38:02.371QIODevice::write (QSerialPort): device not open
08:38:02.871QIODevice::write (QSerialPort): device not open
08:38:02.872QIODevice::write (QSerialPort): device not open
08:38:03.372QIODevice::write (QSerialPort): device not open
08:38:03.372QIODevice::write (QSerialPort): device not open
08:38:03.872QIODevice::write (QSerialPort): device not open
08:38:03.872QIODevice::write (QSerialPort): device not open
08:38:04.372QIODevice::write (QSerialPort): device not open
08:38:04.372QIODevice::write (QSerialPort): device not open
08:38:04.872QIODevice::write (QSerialPort): device not open
08:38:04.873QIODevice::write (QSerialPort): device not open
08:38:05.372QIODevice::write (QSerialPort): device not open
08:38:05.373QIODevice::write (QSerialPort): device not open
08:38:05.872QIODevice::write (QSerialPort): device not open
08:38:05.873QIODevice::write (QSerialPort): device not open
08:38:06.372QIODevice::write (QSerialPort): device not open
08:38:06.372QIODevice::write (QSerialPort): device not open
08:38:06.872QIODevice::write (QSerialPort): device not open
08:38:06.872QIODevice::write (QSerialPort): device not open
08:38:07.372QIODevice::write (QSerialPort): device not open
08:38:07.373QIODevice::write (QSerialPort): device not open
08:38:07.872QIODevice::write (QSerialPort): device not open
08:38:07.872QIODevice::write (QSerialPort): device not open
08:38:08.371QIODevice::write (QSerialPort): device not open
08:38:08.372QIODevice::write (QSerialPort): device not open
08:38:08.872QIODevice::write (QSerialPort): device not open
08:38:08.872QIODevice::write (QSerialPort): device not open
08:38:09.372QIODevice::write (QSerialPort): device not open
08:38:09.373QIODevice::write (QSerialPort): device not open
08:38:09.872QIODevice::write (QSerialPort): device not open
08:38:09.872QIODevice::write (QSerialPort): device not open
08:38:10.372QIODevice::write (QSerialPort): device not open
08:38:10.372QIODevice::write (QSerialPort): device not open
08:38:10.872QIODevice::write (QSerialPort): device not open
08:38:10.872QIODevice::write (QSerialPort): device not open
08:38:11.371QIODevice::write (QSerialPort): device not open
08:38:11.372QIODevice::write (QSerialPort): device not open
08:38:11.872QIODevice::write (QSerialPort): device not open
08:38:11.872QIODevice::write (QSerialPort): device not open
08:38:12.372QIODevice::write (QSerialPort): device not open
08:38:12.373QIODevice::write (QSerialPort): device not open
08:38:12.872QIODevice::write (QSerialPort): device not open
08:38:12.872QIODevice::write (QSerialPort): device not open
08:38:13.372QIODevice::write (QSerialPort): device not open
08:38:13.372QIODevice::write (QSerialPort): device not open
08:38:13.871QIODevice::write (QSerialPort): device not open
08:38:13.871QIODevice::write (QSerialPort): device not open
08:38:14.372QIODevice::write (QSerialPort): device not open
08:38:14.373QIODevice::write (QSerialPort): device not open
08:38:14.872QIODevice::write (QSerialPort): device not open
08:38:14.873QIODevice::write (QSerialPort): device not open
08:38:15.372QIODevice::write (QSerialPort): device not open
08:38:15.373QIODevice::write (QSerialPort): device not open
08:38:15.872QIODevice::write (QSerialPort): device not open
08:38:15.873QIODevice::write (QSerialPort): device not open
08:38:16.372QIODevice::write (QSerialPort): device not open
08:38:16.373QIODevice::write (QSerialPort): device not open
08:38:16.871QIODevice::write (QSerialPort): device not open
08:38:16.872QIODevice::write (QSerialPort): device not open
08:38:17.371QIODevice::write (QSerialPort): device not open
08:38:17.372QIODevice::write (QSerialPort): device not open
08:38:17.872QIODevice::write (QSerialPort): device not open
08:38:17.873QIODevice::write (QSerialPort): device not open
08:38:18.371QIODevice::write (QSerialPort): device not open
08:38:18.372QIODevice::write (QSerialPort): device not open
08:38:18.872QIODevice::write (QSerialPort): device not open
08:38:18.873QIODevice::write (QSerialPort): device not open
08:38:19.372QIODevice::write (QSerialPort): device not open
08:38:19.372QIODevice::write (QSerialPort): device not open
08:38:19.872QIODevice::write (QSerialPort): device not open
08:38:19.872QIODevice::write (QSerialPort): device not open
08:38:20.372QIODevice::write (QSerialPort): device not open
08:38:20.373QIODevice::write (QSerialPort): device not open
08:38:20.872QIODevice::write (QSerialPort): device not open
08:38:20.872QIODevice::write (QSerialPort): device not open
08:38:21.372QIODevice::write (QSerialPort): device not open
08:38:21.373QIODevice::write (QSerialPort): device not open
08:38:21.871QIODevice::write (QSerialPort): device not open
08:38:21.872QIODevice::write (QSerialPort): device not open
08:38:22.371QIODevice::write (QSerialPort): device not open
08:38:22.372QIODevice::write (QSerialPort): device not open
08:38:22.871QIODevice::write (QSerialPort): device not open
08:38:22.872QIODevice::write (QSerialPort): device not open
08:38:23.372QIODevice::write (QSerialPort): device not open
08:38:23.373QIODevice::write (QSerialPort): device not open
08:38:23.871QIODevice::write (QSerialPort): device not open
08:38:23.872QIODevice::write (QSerialPort): device not open
08:38:24.372QIODevice::write (QSerialPort): device not open
08:38:24.373QIODevice::write (QSerialPort): device not open
08:38:24.872QIODevice::write (QSerialPort): device not open
08:38:24.872QIODevice::write (QSerialPort): device not open
08:38:25.373QIODevice::write (QSerialPort): device not open
08:38:25.373QIODevice::write (QSerialPort): device not open
08:38:25.873QIODevice::write (QSerialPort): device not open
08:38:25.873QIODevice::write (QSerialPort): device not open
08:38:26.372QIODevice::write (QSerialPort): device not open
08:38:26.373QIODevice::write (QSerialPort): device not open
08:38:26.872QIODevice::write (QSerialPort): device not open
08:38:26.873QIODevice::write (QSerialPort): device not open
08:38:27.372QIODevice::write (QSerialPort): device not open
08:38:27.373QIODevice::write (QSerialPort): device not open
08:38:27.872QIODevice::write (QSerialPort): device not open
08:38:27.873QIODevice::write (QSerialPort): device not open
08:38:28.372QIODevice::write (QSerialPort): device not open
08:38:28.373QIODevice::write (QSerialPort): device not open
08:38:28.872QIODevice::write (QSerialPort): device not open
08:38:28.873QIODevice::write (QSerialPort): device not open
08:38:29.372QIODevice::write (QSerialPort): device not open
08:38:29.373QIODevice::write (QSerialPort): device not open
08:38:29.872QIODevice::write (QSerialPort): device not open
08:38:29.872QIODevice::write (QSerialPort): device not open
08:38:30.374QIODevice::write (QSerialPort): device not open
08:38:30.375QIODevice::write (QSerialPort): device not open
08:38:30.872QIODevice::write (QSerialPort): device not open
08:38:30.872QIODevice::write (QSerialPort): device not open
08:38:31.372QIODevice::write (QSerialPort): device not open
08:38:31.373QIODevice::write (QSerialPort): device not open
08:38:31.871QIODevice::write (QSerialPort): device not open
08:38:31.872QIODevice::write (QSerialPort): device not open
08:38:32.372QIODevice::write (QSerialPort): device not open
08:38:32.372QIODevice::write (QSerialPort): device not open
08:38:32.871QIODevice::write (QSerialPort): device not open
08:38:32.871QIODevice::write (QSerialPort): device not open
08:38:33.371QIODevice::write (QSerialPort): device not open
08:38:33.371QIODevice::write (QSerialPort): device not open
08:38:33.873QIODevice::write (QSerialPort): device not open
08:38:33.873QIODevice::write (QSerialPort): device not open
08:38:34.372QIODevice::write (QSerialPort): device not open
08:38:34.372QIODevice::write (QSerialPort): device not open
08:38:34.871QIODevice::write (QSerialPort): device not open
08:38:34.871QIODevice::write (QSerialPort): device not open
08:38:35.372QIODevice::write (QSerialPort): device not open
08:38:35.372QIODevice::write (QSerialPort): device not open
08:38:35.872QIODevice::write (QSerialPort): device not open
08:38:35.872QIODevice::write (QSerialPort): device not open
08:38:36.372QIODevice::write (QSerialPort): device not open
08:38:36.373QIODevice::write (QSerialPort): device not open
08:38:36.871QIODevice::write (QSerialPort): device not open
08:38:36.871QIODevice::write (QSerialPort): device not open
08:38:37.372QIODevice::write (QSerialPort): device not open
08:38:37.372QIODevice::write (QSerialPort): device not open
08:38:37.871QIODevice::write (QSerialPort): device not open
08:38:37.871QIODevice::write (QSerialPort): device not open
08:38:38.371QIODevice::write (QSerialPort): device not open
08:38:38.372QIODevice::write (QSerialPort): device not open
08:38:38.872QIODevice::write (QSerialPort): device not open
08:38:38.872QIODevice::write (QSerialPort): device not open
08:38:39.372QIODevice::write (QSerialPort): device not open
08:38:39.372QIODevice::write (QSerialPort): device not open
08:38:39.872QIODevice::write (QSerialPort): device not open
08:38:39.873QIODevice::write (QSerialPort): device not open
08:38:40.372QIODevice::write (QSerialPort): device not open
08:38:40.372QIODevice::write (QSerialPort): device not open
08:38:40.872QIODevice::write (QSerialPort): device not open
08:38:40.872QIODevice::write (QSerialPort): device not open
08:38:41.371QIODevice::write (QSerialPort): device not open
08:38:41.371QIODevice::write (QSerialPort): device not open
08:38:41.872QIODevice::write (QSerialPort): device not open
08:38:41.872QIODevice::write (QSerialPort): device not open
08:38:42.372QIODevice::write (QSerialPort): device not open
08:38:42.373QIODevice::write (QSerialPort): device not open
08:38:42.871QIODevice::write (QSerialPort): device not open
08:38:42.872QIODevice::write (QSerialPort): device not open
08:38:43.372QIODevice::write (QSerialPort): device not open
08:38:43.372QIODevice::write (QSerialPort): device not open
08:38:43.871QIODevice::write (QSerialPort): device not open
08:38:43.871QIODevice::write (QSerialPort): device not open
08:38:44.372QIODevice::write (QSerialPort): device not open
08:38:44.373QIODevice::write (QSerialPort): device not open
08:38:44.872QIODevice::write (QSerialPort): device not open
08:38:44.872QIODevice::write (QSerialPort): device not open
08:38:45.372QIODevice::write (QSerialPort): device not open
08:38:45.372QIODevice::write (QSerialPort): device not open
08:38:45.872QIODevice::write (QSerialPort): device not open
08:38:45.872QIODevice::write (QSerialPort): device not open
08:38:46.372QIODevice::write (QSerialPort): device not open
08:38:46.373QIODevice::write (QSerialPort): device not open
08:38:46.872QIODevice::write (QSerialPort): device not open
08:38:46.872QIODevice::write (QSerialPort): device not open
08:38:47.372QIODevice::write (QSerialPort): device not open
08:38:47.372QIODevice::write (QSerialPort): device not open
08:38:47.872QIODevice::write (QSerialPort): device not open
08:38:47.873QIODevice::write (QSerialPort): device not open
08:38:48.372QIODevice::write (QSerialPort): device not open
08:38:48.372QIODevice::write (QSerialPort): device not open
08:38:48.871QIODevice::write (QSerialPort): device not open
08:38:48.872QIODevice::write (QSerialPort): device not open
08:38:49.373QIODevice::write (QSerialPort): device not open
08:38:49.373QIODevice::write (QSerialPort): device not open
08:38:49.872QIODevice::write (QSerialPort): device not open
08:38:49.873QIODevice::write (QSerialPort): device not open
08:38:50.372QIODevice::write (QSerialPort): device not open
08:38:50.372QIODevice::write (QSerialPort): device not open
08:38:50.872QIODevice::write (QSerialPort): device not open
08:38:50.872QIODevice::write (QSerialPort): device not open
08:38:51.372QIODevice::write (QSerialPort): device not open
08:38:51.372QIODevice::write (QSerialPort): device not open
08:38:51.872QIODevice::write (QSerialPort): device not open
08:38:51.873QIODevice::write (QSerialPort): device not open
